tag,count
cheetah,3
picture frame,3
maple,3
television,3
fashion,3
pointed arch,3
honeycomb,3
golf,3
water tower,3
hovel,3
star shape,3
diver,3
computer mouse,3
candlestick,3
cd,3
snag,3
curtain,3
cetacean,3
leopard,3
camel,3
atoll,3
camp chair,3
fieldwork,3
temple,3
step,3
stage,3
figure skating,3
oar,3
rapeseed,3
tangle,3
cantilever bridge,2
playground,2
cenotaph,2
spoon,2
sidewalk,2
shoe,2
pumpkin,2
chassis,2
branchlet,2
duck,2
firearm,2
tarpaulin,2
fly,2
room,2
condominium,2
lock,2
weathervane,2
rhinoceros,2
ensemble,2
bluff,2
stronghold,2
ferris wheel,2
windshield,2
fir,2
buttercup,2
signboard,2
predator,2
gothic arch,2
nave,2
eagle,2
fret,2
aisle,2
footwear,2
cuticle,2
horse,2
hat,2
golf cart,2
iceberg,2
ant,2
tyrannosaur,2
screw,2
belfry,2
truck,2
skein,2
scoreboard,2
riverbed,2
hockey,2
wool,2
cannon,2
beam,2
banner,2
jaguar,2
ice rink,2
paper,2
bison,2
sewing machine,2
cattle,2
printed circuit board,2
outfit,2
guitar,2
ranch,2
bathroom,2
resort,2
mushroom,2
cow,2
piste,2
masonry,2
sleeping,2
speaker,2
arabian camel,2
concrete,2
rodent,2
container ship,2
red maple,2
swim,2
cereal bowl,2
auto racing,2
intersection,2
clown,2
computer screen,2
pew,2
abutment,2
illustration,2
wood laminate,2
earthenware,2
tennis,2
steel arch bridge,2
bird of prey,2
support column,2
rowing boat,2
neckpiece,2
lichen,2
stonework,2
petal,2
buffalo,2
ferrari,2
onion dome,2
circuitry,1
snowmobile,1
apartment,1
peccary,1
beluga,1
swan,1
cayenne pepper,1
sprocket,1
candelabrum,1
computer keyboard,1
angus,1
open air market,1
lavender,1
paddle,1
microprocessor,1
big cat,1
roller skating,1
stove gas burner,1
aardvark,1
groundhog,1
casino,1
bicycle wheel,1
crab,1
porch,1
musician,1
bullhorn,1
window frame,1
bald eagle,1
primate,1
car wheel,1
bus,1
graduation,1
anteater,1
lecanora,1
frying pan,1
computer chip,1
four wheel drive,1
motor scooter,1
collection,1
birdbath,1
notebook,1
baggage,1
colonnade,1
motorcycle,1
keyboard,1
muskrat,1
reading lamp,1
willow,1
wood fence,1
wagon,1
chairlift,1
control panel,1
token,1
map,1
harp,1
sheetrock,1
semiconductor,1
skin diving,1
horseback riding,1
jumbo jet,1
drapery,1
yurt,1
basketball,1
marina,1
knit,1
needlework,1
yarn,1
circuit,1
dwelling,1
strainer,1
villa,1
monkey,1
jet,1
gymnastic apparatus,1
cabin,1
girder,1
draft horse,1
manhole,1
bannister,1
stock car,1
runner,1
row house,1
cable car,1
aspen,1
school bus,1
mansion,1
formal wear,1
dog,1
hallway,1
drawbridge,1
stoop,1
shellfish,1
gable roof,1
riding,1
organ instrument,1
pavilion,1
skylight,1
parade,1
portrait,1
glass,1
wheel spoke,1
hand rail,1
food pan,1
bicycle seat,1
plywood,1
drum,1
digital display,1
office furniture,1
gable,1
carp,1
dancer,1
truss,1
gondola,1
brick,1
engine,1
elk,1
keyboard instrument,1
bull,1
gnu,1
percussion instrument,1
lizard,1
scuba diving,1
hedgehog,1
rim,1
knitting,1
running,1
stairwell,1
hearth,1
bottle,1
joystick,1
carthorse,1
emerald,1
mountain bike,1
trestle,1
rafter,1
chateau,1
white whale,1
collared peccary,1
backboard,1
gorge,1
piano keyboard,1
bazaar,1
chain-link,1
horse ranch,1
magazine,1
ox,1
spadix,1
sketch,1
portable computer,1
whale shark,1
pottery,1
cabinet,1
rose window,1
trail bike,1
block,1
locust,1
deer,1
bactrian camel,1
chalet,1
stag,1
worm,1
friends,1
skunk,1
tailpipe,1
